capacity,lookahead,bandwidth_scale,eligible_waves,cold_demand_experts,mean_cold_experts_per_wave,available_lead_time_ms,measured_expert_transfer_ms,cold_service_headroom,cold_service_pressure,first_order_oracle_stall_reduction,candidate_transfer_amplification,required_benefit,minimum_complete_cold_set_coverage,maximum_profitable_amplification,inverse_window_exists,empty_window_reason
16,3,0.25,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,0.2644796653883609,3.7810090183364533,0.2644796653883609,1.0,0.25,0.25,1.0579186615534435,True,
16,3,0.25,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,0.2644796653883609,3.7810090183364533,0.2644796653883609,2.0,0.25,,1.0579186615534435,False,insufficient_cold_service_headroom
16,3,0.25,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,0.2644796653883609,3.7810090183364533,0.2644796653883609,4.0,0.25,,1.0579186615534435,False,speculative_traffic_gate
16,3,0.5,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,0.5289593307767217,1.8905045091682267,0.5289593307767217,1.0,0.2644796653883609,0.2644796653883609,2.0,True,
16,3,0.5,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,0.5289593307767217,1.8905045091682267,0.5289593307767217,2.0,0.2644796653883609,0.2644796653883609,2.0,True,
16,3,0.5,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,0.5289593307767217,1.8905045091682267,0.5289593307767217,4.0,0.2644796653883609,,2.0,False,speculative_traffic_gate
16,3,1.0,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,1.0579186615534435,0.9452522545841133,1.0,1.0,0.5,0.5,2.0,True,
16,3,1.0,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,1.0579186615534435,0.9452522545841133,1.0,2.0,0.5,0.5,2.0,True,
16,3,1.0,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,1.0579186615534435,0.9452522545841133,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
16,3,2.0,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,2.115837323106887,0.47262612729205666,1.0,1.0,0.5,0.5,2.0,True,
16,3,2.0,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,2.115837323106887,0.47262612729205666,1.0,2.0,0.5,0.5,2.0,True,
16,3,2.0,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,2.115837323106887,0.47262612729205666,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
16,3,4.0,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,4.231674646213774,0.23631306364602833,1.0,1.0,0.5,0.5,2.0,True,
16,3,4.0,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,4.231674646213774,0.23631306364602833,1.0,2.0,0.5,0.5,2.0,True,
16,3,4.0,104143,360247,3.459157120497777,1.9179329574108124,0.5240960121154785,4.231674646213774,0.23631306364602833,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
16,4,0.25,96132,330168,3.434527524653601,2.5572439432144165,0.5240960121154785,0.35516839359043634,2.8155658500208594,0.35516839359043634,1.0,0.25,0.25,1.4206735743617454,True,
16,4,0.25,96132,330168,3.434527524653601,2.5572439432144165,0.5240960121154785,0.35516839359043634,2.8155658500208594,0.35516839359043634,2.0,0.25,,1.4206735743617454,False,insufficient_cold_service_headroom
16,4,0.25,96132,330168,3.434527524653601,2.5572439432144165,0.5240960121154785,0.35516839359043634,2.8155658500208594,0.35516839359043634,4.0,0.25,,1.4206735743617454,False,speculative_traffic_gate
16,4,0.5,96132,330168,3.434527524653601,2.5572439432144165,0.5240960121154785,0.7103367871808727,1.4077829250104297,0.7103367871808727,1.0,0.35516839359043634,0.35516839359043634,2.0,True,
16,4,0.5,96132,330168,3.434527524653601,2.5572439432144165,0.5240960121154785,0.7103367871808727,1.4077829250104297,0.7103367871808727,2.0,0.35516839359043634,0.35516839359043634,2.0,True,
16,4,0.5,96132,330168,3.434527524653601,2.5572439432144165,0.5240960121154785,0.7103367871808727,1.4077829250104297,0.7103367871808727,4.0,0.35516839359043634,,2.0,False,speculative_traffic_gate
