baseline,candidate_count,candidate_amplification,delta,layer_pairs,requests,forecasts_per_request,bootstrap_resamples,confidence_level,selection_coverage,selection_coverage_ci_low,selection_coverage_ci_high,routed_mass_coverage,routed_mass_coverage_ci_low,routed_mass_coverage_ci_high,complete_route_coverage,complete_route_coverage_ci_low,complete_route_coverage_ci_high
learned,16,4.0,14,10,64,160,5000,0.95,0.9642822265625,0.9595458984375,0.968310546875,0.9695290578529239,0.9652548363897949,0.9734332965686917,0.88359375,0.871875,0.89462890625
learned,16,4.0,15,9,64,144,5000,0.95,0.964870876736111,0.9605577256944444,0.9690212673611112,0.9703777125105262,0.9660737796220928,0.9742168592754752,0.8842230902777777,0.8723958333333333,0.8956163194444444
learned,16,4.0,16,8,64,128,5000,0.95,0.96112060546875,0.95562744140625,0.9659431457519532,0.9671134352684021,0.9617026954889297,0.9718848615884781,0.8743896484375,0.861083984375,0.8868408203125
learned,16,4.0,17,7,64,112,5000,0.95,0.9601702008928572,0.95361328125,0.9658551897321428,0.9664305942133069,0.9604041495826096,0.9715266097337008,0.8740234375,0.8585379464285714,0.8875558035714285
learned,16,4.0,18,6,64,96,5000,0.95,0.9587809244791667,0.9521891276041666,0.9646809895833333,0.9654998807236552,0.9592331426683813,0.9706347660860046,0.8665364583333333,0.8497721354166667,0.8816731770833333
learned,16,4.0,19,5,64,80,5000,0.95,0.958251953125,0.9516101074218749,0.963818359375,0.9648381238803267,0.9586680769687519,0.9699212917592377,0.8675781250000001,0.8533203125000001,0.8806640625
learned,16,4.0,20,4,64,64,5000,0.95,0.9583740234375,0.95098876953125,0.96466064453125,0.9639701843261719,0.9572475552558899,0.9700454592704773,0.869873046875,0.853759765625,0.884521484375
learned,16,4.0,21,3,64,48,5000,0.95,0.95849609375,0.9510904947916666,0.9649251302083333,0.9642175026237965,0.9571036573965103,0.970576538820751,0.869140625,0.8515625,0.8860758463541667
learned,16,4.0,22,2,64,32,5000,0.95,0.960693359375,0.9526336669921875,0.9674072265625,0.9672274589538574,0.9599443554878235,0.9732800960540772,0.87353515625,0.8525390625,0.8916015625
learned,16,4.0,23,1,64,16,5000,0.95,0.947021484375,0.936767578125,0.95556640625,0.9550042152404785,0.9456218361854554,0.9630751132965087,0.845703125,0.8232421875,0.8671875
transition,8,2.0,1,23,64,368,5000,0.95,0.8596722146739131,0.854449462890625,0.8646293308423912,0.8792296601459384,0.8740026920335368,0.884241488063708,0.6000339673913043,0.5907778532608696,0.609122367527174
transition,8,2.0,2,22,64,352,5000,0.95,0.8536709872159092,0.847944502397017,0.8589202880859376,0.8726329579949379,0.8672590679721907,0.8778224054025486,0.5957919034090909,0.5866033380681819,0.6044477982954546
transition,8,2.0,3,21,64,336,5000,0.95,0.8409481956845238,0.8352977934337797,0.8462498256138393,0.860862260684371,0.8552454558433965,0.8664138609776273,0.5678013392857143,0.5585007440476191,0.576962425595238
transition,8,2.0,4,20,64,320,5000,0.95,0.8401123046875,0.8342163085937501,0.845703125,0.8600827939808369,0.8540919178165496,0.8656690914416686,0.571240234375,0.562010498046875,0.57978515625
