phase,resident_capacity,lookahead,policy,candidate_class,bin_left,bin_right,bin_center,count,density
decode,32,3,linear,useless,-1.4125,-1.2999999999999998,-1.35625,11409,0.18351435047959547
decode,32,3,linear,useless,-1.2999999999999998,-1.1875,-1.24375,13600,0.21875669791590047
decode,32,3,linear,useless,-1.1875,-1.0749999999999997,-1.1312499999999999,16388,0.26360182098865903
decode,32,3,linear,useless,-1.0749999999999997,-0.9624999999999999,-1.0187499999999998,19556,0.31455926356201097
decode,32,3,linear,useless,-0.9624999999999999,-0.8500000000000001,-0.90625,22695,0.3650502396471589
decode,32,3,linear,useless,-0.8500000000000001,-0.7374999999999998,-0.79375,25412,0.4087533240763853
decode,32,3,linear,useless,-0.7374999999999998,-0.625,-0.6812499999999999,28362,0.45620422546255657
decode,32,3,linear,useless,-0.625,-0.5124999999999997,-0.5687499999999999,30469,0.4900954285882018
decode,32,3,linear,useless,-0.5124999999999997,-0.3999999999999999,-0.4562499999999998,31721,0.5102339128375205
decode,32,3,linear,useless,-0.3999999999999999,-0.2875000000000001,-0.34375,33066,0.5318683068593504
decode,32,3,linear,useless,-0.2875000000000001,-0.17499999999999982,-0.23124999999999996,32977,0.5304367372921045
decode,32,3,linear,useless,-0.17499999999999982,-0.0625,-0.11874999999999991,32014,0.5149468328735027
decode,32,3,linear,useless,-0.0625,0.04999999999999982,-0.006250000000000089,29929,0.48140950087683715
decode,32,3,linear,useless,0.04999999999999982,0.16250000000000053,0.10625000000000018,27888,0.44857991113813117
decode,32,3,linear,useless,0.16250000000000053,0.27500000000000036,0.21875000000000044,25440,0.4092037055132726
decode,32,3,linear,useless,0.27500000000000036,0.3875000000000002,0.33125000000000027,22325,0.35909877065974105
decode,32,3,linear,useless,0.3875000000000002,0.5,0.4437500000000001,19282,0.3101519595010583
decode,32,3,linear,useless,0.5,0.6124999999999998,0.5562499999999999,16939,0.2724646842645175
decode,32,3,linear,useless,0.6124999999999998,0.7250000000000005,0.6687500000000002,14304,0.23008057404330995
decode,32,3,linear,useless,0.7250000000000005,0.8375000000000004,0.7812500000000004,12004,0.19308495601341685
decode,32,3,linear,useless,0.8375000000000004,0.9500000000000002,0.8937500000000003,10335,0.16623900536476702
decode,32,3,linear,useless,0.9500000000000002,1.0625,1.00625,8396,0.13505009086043385
decode,32,3,linear,useless,1.0625,1.1749999999999998,1.11875,6865,0.1104238772935777
decode,32,3,linear,useless,1.1749999999999998,1.2875000000000005,1.2312500000000002,5408,0.08698795752420443
decode,32,3,linear,useless,1.2875000000000005,1.4000000000000004,1.3437500000000004,4313,0.06937482633171167
decode,32,3,linear,useless,1.4000000000000004,1.5125000000000002,1.4562500000000003,3404,0.0547535146842445
decode,32,3,linear,useless,1.5125000000000002,1.625,1.56875,2570,0.04133858188557825
decode,32,3,linear,useless,1.625,1.7374999999999998,1.68125,1971,0.031703636146488225
decode,32,3,linear,useless,1.7374999999999998,1.8500000000000005,1.7937500000000002,1576,0.0253500408761365
decode,32,3,linear,useless,1.8500000000000005,1.9625000000000004,1.9062500000000004,1146,0.018433468809678083
decode,32,3,linear,useless,1.9625000000000004,2.075,2.0187500000000003,844,0.013575783311839706
