phase,delta,score_threshold,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,mean_candidate_count,candidate_amplification,candidate_set_fraction
decode,7,0.2,0.5715475643382353,0.3731616370761801,0.5974636638865751,0.17084099264705882,6.12844669117647,1.5321116727941175,0.1915139590992647
decode,8,0.2,0.573028564453125,0.3650176162390309,0.5960869193077087,0.171630859375,6.2822265625,1.570556640625,0.196319580078125
decode,9,0.2,0.6052734375,0.3645600748141029,0.6288944880167643,0.21106770833333333,6.635937500000001,1.6589843750000002,0.20737304687500002
decode,10,0.2,0.5865304129464286,0.3652382820886765,0.606536728995187,0.19684709821428573,6.428850446428571,1.6072126116071428,0.20090157645089285
decode,11,0.2,0.5766225961538461,0.3576025726372306,0.5999400065495418,0.1630108173076923,6.45282451923077,1.6132061298076925,0.20165076622596156
decode,12,0.2,0.5732828776041667,0.3620838420831217,0.5949703852335613,0.18212890625,6.339029947916668,1.584757486979167,0.19809468587239587
decode,13,0.2,0.5763050426136365,0.344247451668559,0.595115141435103,0.171875,6.700461647727273,1.6751154119318183,0.2093894264914773
decode,14,0.2,0.566357421875,0.3306834621303822,0.5828886032104492,0.1755859375,6.8509765625,1.712744140625,0.214093017578125
decode,15,0.2,0.5803493923611112,0.34164305066673906,0.5977526770697701,0.19292534722222224,6.793185763888889,1.6982964409722223,0.2122870551215278
decode,16,0.2,0.56256103515625,0.32949995239954954,0.5716259479522705,0.175048828125,6.8310546875,1.707763671875,0.213470458984375
decode,17,0.2,0.57275390625,0.33063111075661894,0.5820010049002511,0.1830357142857143,6.940011160714286,1.7350027901785714,0.21687534877232142
decode,18,0.2,0.5773111979166666,0.32875544653865796,0.5847042401631674,0.18489583333333331,7.045247395833333,1.7613118489583333,0.22016398111979166
decode,19,0.2,0.5962890625000001,0.3441016667048542,0.6096832275390626,0.197265625,6.941796875,1.73544921875,0.21693115234375
decode,20,0.2,0.5810546875,0.33637837533546655,0.592458963394165,0.18701171875,6.93212890625,1.7330322265625,0.2166290283203125
decode,21,0.2,0.5812174479166667,0.35433755810756007,0.6021881103515625,0.205078125,6.574869791666666,1.6437174479166665,0.20546468098958331
decode,22,0.2,0.55712890625,0.34094473085769983,0.5849151611328125,0.1953125,6.5419921875,1.635498046875,0.204437255859375
decode,23,0.2,0.5712890625,0.3815849828377777,0.6018257141113281,0.181640625,5.99609375,1.4990234375,0.1873779296875
prefill,1,0.2,0.5789534302575083,0.3727068466389714,0.6100151873050488,0.14406205641448125,6.213400949774545,1.5533502374436363,0.19416877968045454
prefill,2,0.2,0.5974452689468253,0.37333576345090413,0.6274245444901003,0.16084913441389556,6.399622530289124,1.599905632572281,0.19998820407153511
prefill,3,0.2,0.5959359374825602,0.37779275168300547,0.6253219650642459,0.1606963783636281,6.307443989858395,1.5768609974645988,0.19710762468307486
prefill,4,0.2,0.5935668394143467,0.37955543536839387,0.6233261398445478,0.15801005969122983,6.252412411122896,1.563103102780724,0.1953878878475905
prefill,5,0.2,0.5963231393737045,0.37457738005098773,0.6248265298844833,0.1718448337192439,6.3661361745831035,1.5915340436457759,0.19894175545572199
prefill,6,0.2,0.6030071940929316,0.37571901200187147,0.6329474470941937,0.17634963190401343,6.418431331529176,1.604607832882294,0.20057597911028674
prefill,7,0.2,0.6025380257738425,0.3823845735483051,0.6313782853987212,0.18002612187378608,6.300326715021522,1.5750816787553805,0.19688520984442257
prefill,8,0.2,0.6103397137250288,0.37925979330363124,0.6377270053504295,0.18098185797779243,6.432966072849911,1.6082415182124778,0.20103018977655973
prefill,9,0.2,0.6230793940329122,0.3823394314925933,0.6520432767492292,0.19183121823171195,6.516166117499424,1.629041529374856,0.203630191171857
prefill,10,0.2,0.6228113717237582,0.3909166713931336,0.6495004786804439,0.19233050927669457,6.372254838218056,1.593063709554514,0.19913296369431424
