train_checkpoint,eval_checkpoint,phase,domain,source_layer,target_layer,delta,capacity,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
instruct,base,prefill,math,11,15,4,32,516,8,0.9299903100775194,0.5891472868217055,4.0,4.30112008335504,0.30012135922330097,0.5550208030886851
instruct,base,prefill,math,12,13,1,8,516,8,0.6596414728682171,0.013565891472868217,1.0,1.515975027543151,0.6660194174757281,0.24438879351500598
instruct,base,prefill,math,12,13,1,16,516,8,0.8313953488372093,0.23062015503875968,2.0,2.4055944055944054,0.5052184466019417,0.36332774629300507
instruct,base,prefill,math,12,13,1,32,516,8,0.9639050387596899,0.748062015503876,4.0,4.1497863784870574,0.30054611650485435,0.557057240339372
instruct,base,prefill,math,12,14,2,8,516,8,0.6300872093023255,0.013565891472868217,1.0,1.5870818915801614,0.7106796116504854,0.22215566526246056
instruct,base,prefill,math,12,14,2,16,516,8,0.846172480620155,0.2926356589147287,2.0,2.363584311480103,0.5506067961165049,0.3293906001279835
instruct,base,prefill,math,12,14,2,32,516,8,0.9731104651162791,0.8372093023255814,4.0,4.110530246452576,0.31389563106796114,0.5406244194255256
instruct,base,prefill,math,12,15,3,8,516,8,0.5603197674418605,0.001937984496124031,1.0,1.7846952010376136,0.6101941747572815,0.2848552526222418
instruct,base,prefill,math,12,15,3,16,516,8,0.7744670542635659,0.15310077519379844,2.0,2.5824210197059743,0.4855582524271845,0.3841329596569793
instruct,base,prefill,math,12,15,3,32,516,8,0.9486434108527132,0.7015503875968992,4.0,4.216547497446374,0.3093446601941748,0.5469806296816564
instruct,base,prefill,math,13,14,1,8,516,8,0.6349321705426356,0.013565891472868217,1.0,1.5749713849675697,0.7014563106796117,0.2330165627252998
instruct,base,prefill,math,13,14,1,16,516,8,0.8490794573643411,0.313953488372093,2.0,2.3554921540656206,0.5594660194174758,0.3230847320125106
instruct,base,prefill,math,13,14,1,32,516,8,0.9767441860465116,0.8488372093023255,4.0,4.095238095238095,0.31523058252427183,0.5371972900161965
instruct,base,prefill,math,13,15,2,8,516,8,0.5826065891472868,0.0,1.0,1.7164241164241165,0.6368932038834951,0.2665280350717233
instruct,base,prefill,math,13,15,2,16,516,8,0.7950581395348837,0.19186046511627908,2.0,2.5155393053016453,0.4955097087378641,0.37363652647856094
instruct,base,prefill,math,13,15,2,32,516,8,0.9425872093023255,0.6627906976744186,4.0,4.243639167309175,0.30279126213592233,0.5539552762601544
instruct,base,prefill,math,14,15,1,8,516,8,0.5930232558139535,0.001937984496124031,1.0,1.6862745098039216,0.6189320388349514,0.2873921332173749
instruct,base,prefill,math,14,15,1,16,516,8,0.8066860465116279,0.187984496124031,2.0,2.4792792792792793,0.4938106796116505,0.38248080232673365
instruct,base,prefill,math,14,15,1,32,516,8,0.9544573643410853,0.7131782945736435,4.0,4.190862944162436,0.3077063106796116,0.5510867288298616
instruct,instruct,prefill,code,0,1,1,8,1033,8,0.4686592449177154,0.0,1.0,2.133746449780532,0.2938468992248062,0.5658213018678161
instruct,instruct,prefill,code,0,1,1,16,1033,8,0.6513794772507261,0.07744433688286544,2.0,3.0704068363366153,0.3409035852713178,0.5057530742058972
instruct,instruct,prefill,code,0,1,1,32,1033,8,0.824298160696999,0.271055179090029,4.0,4.852613035819143,0.2208999515503876,0.6437201403479941
instruct,instruct,prefill,code,0,2,2,8,1033,8,0.49564375605033884,0.001936108422071636,1.0,2.017578125,0.2378875968992248,0.6349804373060255
instruct,instruct,prefill,code,0,2,2,16,1033,8,0.6727976766698935,0.10939012584704744,2.0,2.972661870503597,0.26368701550387597,0.5969336929601924
instruct,instruct,prefill,code,0,2,2,32,1033,8,0.8418441432720233,0.33010648596321396,4.0,4.751473336208136,0.19152737403100775,0.6838836602995817
instruct,instruct,prefill,code,0,3,3,8,1033,8,0.47483059051306875,0.0,1.0,2.106014271151886,0.3029312015503876,0.5528517563401306
instruct,instruct,prefill,code,0,3,3,16,1033,8,0.6799370764762827,0.06292352371732816,2.0,2.941448656344545,0.258781492248062,0.6030145171628759
instruct,instruct,prefill,code,0,3,3,32,1033,8,0.8628993223620522,0.3872216844143272,4.0,4.635534988080213,0.16999757751937986,0.7158902560086376
instruct,instruct,prefill,code,0,4,4,8,1033,8,0.5556631171345595,0.005808325266214908,1.0,1.7996515679442509,0.2701065891472868,0.590706106985182
instruct,instruct,prefill,code,0,4,4,16,1033,8,0.7454017424975798,0.11035818005808325,2.0,2.6831168831168832,0.20960513565891473,0.6631307973439904
instruct,instruct,prefill,code,0,4,4,32,1033,8,0.9104549854791868,0.47725072604065827,4.0,4.393407761828814,0.12527252906976744,0.7816001507649212
instruct,instruct,prefill,code,0,5,5,8,1033,8,0.5908760890609874,0.0,1.0,1.6924022117550686,0.25920542635658916,0.6072917607801386
instruct,instruct,prefill,code,0,5,5,16,1033,8,0.7537512100677638,0.18586640851887706,2.0,2.6533954085728046,0.23952277131782945,0.6273750238033865
instruct,instruct,prefill,code,0,5,5,32,1033,8,0.8832284607938045,0.46369796708615685,4.0,4.528839567063981,0.12300145348837209,0.7868055651235836
instruct,instruct,prefill,code,0,6,6,8,1033,8,0.5621974830590513,0.002904162633107454,1.0,1.7787343951786483,0.156734496124031,0.7384660559079284
instruct,instruct,prefill,code,0,6,6,16,1033,8,0.7996127783155856,0.23814133591481124,2.0,2.5012106537530268,0.1698764534883721,0.7196648104963159
instruct,instruct,prefill,code,0,6,6,32,1033,8,0.9296950629235237,0.6030977734753146,4.0,4.3024860080697644,0.14758963178294573,0.7467528724407899
instruct,instruct,prefill,code,0,7,7,8,1033,8,0.5605033881897387,0.00968054211035818,1.0,1.7841105354058722,0.32194767441860467,0.5338185500976218
instruct,instruct,prefill,code,0,7,7,16,1033,8,0.7467328170377541,0.2362052274927396,2.0,2.6783341435747854,0.20924176356589147,0.6675752960433101
instruct,instruct,prefill,code,0,7,7,32,1033,8,0.9091239109390126,0.5701839303000968,4.0,4.399840276853454,0.11851986434108527,0.7926193938768972
instruct,instruct,prefill,code,0,8,8,8,1033,8,0.513189738625363,0.002904162633107454,1.0,1.9485970290025938,0.2870639534883721,0.5820950367462036
instruct,instruct,prefill,code,0,8,8,16,1033,8,0.7130929332042595,0.20135527589545016,2.0,2.804683522823689,0.24358042635658914,0.6286345724951837
instruct,instruct,prefill,code,0,8,8,32,1033,8,0.8920619554695063,0.5575992255566312,4.0,4.483993488876831,0.15316133720930233,0.7394822284179633
instruct,instruct,prefill,code,0,9,9,8,1033,8,0.5312197483059051,0.011616650532429816,1.0,1.8824601366742597,0.29396802325581395,0.5705613938172104
instruct,instruct,prefill,code,0,9,9,16,1033,8,0.7385043562439496,0.2526621490803485,2.0,2.708176306734393,0.28161337209302323,0.5836684176495273
instruct,instruct,prefill,code,0,9,9,32,1033,8,0.8927879961277831,0.6040658276863504,4.0,4.480346977500678,0.21360222868217055,0.6578349495424605
