checkpoint,phase,domain,source_layer,target_layer,delta,capacity,transition_selection_coverage,static_selection_coverage,selection_gain_over_static,transition_complete_coverage,static_complete_coverage,complete_gain_over_static
base,prefill,__domain_balanced__,0,3,3,8,0.3501880739282622,0.2176120548617706,0.13257601906649158,0.0,0.0,0.0
base,prefill,__domain_balanced__,0,3,3,16,0.5665051759189736,0.3917519382273608,0.17475323769161288,0.03987303590866341,0.0002420135527589545,0.039631022355904454
base,prefill,__domain_balanced__,0,3,3,32,0.7952519701986038,0.6695580426786616,0.12569392751994224,0.23934035815670743,0.06077904105147703,0.17856131710523038
base,prefill,__domain_balanced__,0,4,4,8,0.3304900635286356,0.22608177075192354,0.10440829277671204,0.0036302032913843175,0.0,0.0036302032913843175
base,prefill,__domain_balanced__,0,4,4,16,0.5327280833831852,0.39297372727849283,0.13975435610469236,0.028676294455891913,0.002420135527589545,0.026256158928302367
base,prefill,__domain_balanced__,0,4,4,32,0.7745187551713468,0.653192800216678,0.1213259549546688,0.2123538754173106,0.0801817944365786,0.13217208098073202
base,prefill,__domain_balanced__,0,5,5,8,0.33966300229409546,0.22807201035300548,0.11159099194108997,0.0,0.0,0.0
base,prefill,__domain_balanced__,0,5,5,16,0.5335066058361019,0.3849786884861387,0.14852791734996315,0.04586082311220561,0.0031461761858664087,0.0427146469263392
base,prefill,__domain_balanced__,0,5,5,32,0.7599720992662153,0.6421060737794954,0.11786602548671997,0.2196487079767656,0.12045559000283007,0.09919311797393555
base,prefill,__domain_balanced__,0,6,6,8,0.3436578690491221,0.2750068796549029,0.06865098939421918,0.0007260406582768635,0.0,0.0007260406582768635
base,prefill,__domain_balanced__,0,6,6,16,0.559312692136052,0.4283955959063583,0.13091709622969366,0.07157781535392195,0.014389065753802008,0.05718874960011994
base,prefill,__domain_balanced__,0,6,6,32,0.7948222371641197,0.6919298753297991,0.10289236183432057,0.2674231197687279,0.09823611980150797,0.16918699996721995
base,prefill,__domain_balanced__,0,7,7,8,0.35467380200350274,0.24007305883107982,0.11460074317242287,0.000484027105517909,0.0,0.000484027105517909
base,prefill,__domain_balanced__,0,7,7,16,0.5569447474055232,0.3921774024035084,0.16476734500201484,0.08101681293003428,0.001452081316553727,0.07956473161348054
base,prefill,__domain_balanced__,0,7,7,32,0.7752754938488656,0.6685241757675866,0.1067513180812791,0.24590912644876367,0.11923449731384518,0.12667462913491848
base,prefill,__domain_balanced__,0,8,8,8,0.36775383562225955,0.23322991044201785,0.1345239251802417,0.000484027105517909,0.0,0.000484027105517909
base,prefill,__domain_balanced__,0,8,8,16,0.5850646587596429,0.39485683135468574,0.19020782740495712,0.08133651138495315,0.000484027105517909,0.08085248427943524
