phase,domain,delta,capacity,baseline,n_scopes,mean_selection_coverage,mean_complete_token_coverage,mean_candidate_amplification,mean_useful_amplification,mean_candidate_replacement_fraction
decode,__domain_balanced__,15,16,linear,4,0.6924603174603174,0.19692460317460317,2.0,2.9100279824967963,0.5866985586481114
decode,__domain_balanced__,15,16,static,4,0.37375992063492064,0.001488095238095238,2.0,5.41038107595619,0.0
decode,__domain_balanced__,15,16,transition,4,0.5375744047619048,0.04613095238095238,2.0,3.750546361867123,0.3403019383697813
decode,__domain_balanced__,15,32,domain_oracle,4,0.7662450396825397,0.2926587301587302,4.0,5.302861575213078,0.0
decode,__domain_balanced__,15,32,linear,4,0.8733878968253967,0.5109126984126984,4.0,4.585891821392147,0.3992296222664016
decode,__domain_balanced__,15,32,static,4,0.6463293650793651,0.056051587301587304,4.0,6.19993403433397,0.0
decode,__domain_balanced__,15,32,transition,4,0.7732514880952381,0.21031746031746032,4.0,5.176321202070548,0.21145004970178927
decode,code,1,8,domain_oracle,15,0.4777116402116402,0.001984126984126984,1.0,2.121453578875121,0.0
decode,code,1,8,linear,15,0.6861111111111111,0.07169312169312168,1.0,1.4670487153257241,0.5115473823724321
decode,code,1,8,static,15,0.4200231481481482,0.0,1.0,2.4286437253280866,0.0
decode,code,1,8,transition,15,0.6423445767195767,0.023148148148148147,1.0,1.5768093819063584,0.3795394300861498
decode,code,1,16,domain_oracle,15,0.6632275132275132,0.10806878306878306,2.0,3.047102128914172,0.0
decode,code,1,16,linear,15,0.8612103174603174,0.4301587301587302,2.0,2.3296783988239556,0.4720675944333996
decode,code,1,16,static,15,0.5753306878306879,0.021296296296296296,2.0,3.5435440401713256,0.0
decode,code,1,16,transition,15,0.831035052910053,0.3329365079365079,2.0,2.4287257395586965,0.3351225977468522
decode,code,1,32,domain_oracle,15,0.8595403439153438,0.40171957671957675,4.0,4.670995358470375,0.0
decode,code,1,32,linear,15,0.9579365079365079,0.7566137566137566,4.0,4.177932513410175,0.34836812458581845
decode,code,1,32,static,15,0.7702876984126984,0.2060846560846561,4.0,5.237836136165645,0.0
decode,code,1,32,transition,15,0.9399966931216931,0.6853174603174603,4.0,4.268437030306839,0.24425115970841615
decode,code,2,8,domain_oracle,14,0.48531391723356004,0.002125850340136054,1.0,2.0806012078271228,0.0
decode,code,2,8,linear,14,0.6890412414965986,0.07312925170068027,1.0,1.4565369496542322,0.5074375177506391
decode,code,2,8,static,14,0.4248334750566894,0.0,1.0,2.3995866315676158,0.0
decode,code,2,8,transition,14,0.6327062074829932,0.018707482993197275,1.0,1.599117429239028,0.3655211587617154
decode,code,2,16,domain_oracle,14,0.6734871031746031,0.11465419501133788,2.0,2.9898119468505926,0.0
decode,code,2,16,linear,14,0.8626169217687075,0.43013038548752835,2.0,2.322276707017896,0.46723232036353307
decode,code,2,16,static,14,0.5842722505668935,0.022817460317460316,2.0,3.4792989568541652,0.0
decode,code,2,16,transition,14,0.8257688492063492,0.32964852607709755,2.0,2.444021908522096,0.32053216415790964
decode,code,2,32,domain_oracle,14,0.8695790816326531,0.42346938775510207,4.0,4.607259477728386,0.0
decode,code,2,32,linear,14,0.9582270408163265,0.7592120181405896,4.0,4.175414789221641,0.3467276696961091
decode,code,2,32,static,14,0.779389880952381,0.2189625850340136,4.0,5.167522844304462,0.0
decode,code,2,32,transition,14,0.9426197562358276,0.6906179138321996,4.0,4.253341498419749,0.2361323132632775
decode,code,3,8,domain_oracle,13,0.4911477411477412,0.002289377289377289,1.0,2.0527892800501384,0.0
decode,code,3,8,linear,13,0.6900946275946276,0.07326007326007325,1.0,1.4525954194479702,0.5013954733139624
decode,code,3,8,static,13,0.42902930402930406,0.0,1.0,2.3764315406783605,0.0
decode,code,3,8,transition,13,0.6264880952380953,0.018925518925518924,1.0,1.6087354007396495,0.3645817403272672
decode,code,3,16,domain_oracle,13,0.6820436507936508,0.12332112332112333,2.0,2.946172561811411,0.0
decode,code,3,16,linear,13,0.8660141941391941,0.43925518925518925,2.0,2.3116752429448764,0.4579828719987766
decode,code,3,16,static,13,0.5893620268620269,0.024572649572649572,2.0,3.4499973226850136,0.0
decode,code,3,16,transition,13,0.8251488095238095,0.3252442002442002,2.0,2.4383078985512694,0.31648570117755004
decode,code,3,32,domain_oracle,13,0.8755914224664225,0.4438339438339438,4.0,4.572878285274399,0.0
decode,code,3,32,linear,13,0.9588102869352869,0.7628205128205128,4.0,4.1725498458165085,0.34356839730845695
decode,code,3,32,static,13,0.7844169719169719,0.231990231990232,4.0,5.134105746186861,0.0
decode,code,3,32,transition,13,0.9431280525030524,0.6897130647130647,4.0,4.246189408695966,0.23360796757914054
decode,code,4,8,domain_oracle,12,0.49749917328042326,0.00248015873015873,1.0,2.023018233303968,0.0
decode,code,4,8,linear,12,0.6849578373015873,0.07175925925925926,1.0,1.462021491048897,0.4908051689860835
decode,code,4,8,static,12,0.4336764219576719,0.0,1.0,2.351211688448069,0.0
decode,code,4,8,transition,12,0.6210524140211641,0.014384920634920634,1.0,1.6148973493239236,0.35335901259111996
decode,code,4,16,domain_oracle,12,0.6909102182539683,0.13310185185185186,2.0,2.90215656712393,0.0
decode,code,4,16,linear,12,0.8637566137566138,0.44345238095238093,2.0,2.317216721511306,0.45135437375745524
decode,code,4,16,static,12,0.5940186838624338,0.026455026455026454,2.0,3.4250842683341483,0.0
decode,code,4,16,transition,12,0.8254588293650794,0.3201058201058201,2.0,2.426453275798801,0.31854705102717035
decode,code,4,32,domain_oracle,12,0.8799189814814815,0.4651124338624339,4.0,4.549254095406796,0.0
decode,code,4,32,linear,12,0.958932705026455,0.7607473544973545,4.0,4.171686889815284,0.34284397779986747
decode,code,4,32,static,12,0.7870370370370371,0.24222883597883596,4.0,5.119260144666859,0.0
decode,code,4,32,transition,12,0.9422743055555555,0.6856812169312169,4.0,4.2465790598676545,0.2331945825049702
decode,code,5,8,domain_oracle,11,0.4943632756132756,0.0021645021645021645,1.0,2.036045319993394,0.0
decode,code,5,8,linear,11,0.6739718614718615,0.0735930735930736,1.0,1.486377269966797,0.49428429423459247
decode,code,5,8,static,11,0.4288194444444445,0.0,1.0,2.3783261004140015,0.0
decode,code,5,8,transition,11,0.6084054834054834,0.01443001443001443,1.0,1.6475223626529192,0.35507410084944874
decode,code,5,16,domain_oracle,11,0.6903183621933622,0.1378066378066378,2.0,2.905288090037175,0.0
decode,code,5,16,linear,11,0.860908189033189,0.4408369408369408,2.0,2.3244028339696188,0.45294144225555755
decode,code,5,16,static,11,0.5859262265512265,0.022907647907647908,2.0,3.4702642404405797,0.0
decode,code,5,16,transition,11,0.8118010461760462,0.30826118326118324,2.0,2.4674140210026327,0.3218077896258811
decode,code,5,32,domain_oracle,11,0.8799603174603174,0.47528860028860026,4.0,4.549347799511613,0.0
decode,code,5,32,linear,11,0.9581529581529581,0.7563131313131314,4.0,4.174970893537476,0.3436596331104283
decode,code,5,32,static,11,0.7841360028860028,0.24603174603174605,4.0,5.1406190180133144,0.0
