phase,capacity,lookahead,bandwidth_scale,effective_inter_moe_layer_ms,expert_transfer_ms,eligible_waves,stalled_waves,total_demanded_experts,resident_hit_experts,cold_demand_experts,compulsory_miss_experts,capacity_miss_experts,deadline_feasible_cold_experts,late_cold_experts,total_demanded_bytes,resident_hit_bytes,cold_demand_bytes,compulsory_miss_bytes,capacity_miss_bytes,deadline_feasible_demanded_bytes,late_bytes,resident_hit_fraction,deadline_feasible_cold_fraction,late_cold_fraction,reactive_stall_ms,oracle_stall_ms,oracle_stall_reduction,oracle_wave_stall_fraction,all_trace_cold_demand_experts,all_trace_compulsory_miss_experts,all_trace_capacity_miss_experts,all_trace_demanded_experts
decode,32,3,0.5,0.9773803949356079,0.566645939406511,104156,20643,833248,664720,168528,832,167696,113985,54543,10484686258176,8364113264640,2120572993536,10468982784,2110104010752,1434263224320,686309769216,0.7977456891585698,0.6763564511535175,0.3236435488464825,95495.70687632344,22727.24596084348,0.7620076681533176,0.19819309497292523,229692,1024,228668,1025536
decode,32,6,0.5,0.9773803949356079,0.566645939406511,80120,8645,640960,509881,131079,640,130439,105091,25988,8065143275520,6415787753472,1649355522048,8053063680,1641302458368,1322350804992,327004717056,0.7954958187718423,0.8017378832612394,0.1982621167387606,74275.38309146327,11335.938850495048,0.8473795976718708,0.10790064902646031,229692,1024,228668,1025536
decode,32,9,0.5,0.9773803949356079,0.566645939406511,56084,2621,448672,349751,98921,448,98473,90398,8523,5645600292864,4400886054912,1244714237952,5637144576,1239077093376,1137470078976,107244158976,0.779524909064974,0.9138403372388068,0.08615966276119327,56053.18297202452,3827.5663088548363,0.9317154511856155,0.04673347122173882,229692,1024,228668,1025536
decode,32,12,0.5,0.9773803949356079,0.566645939406511,32048,52,256384,202950,53434,256,53178,53312,122,3226057310208,2553701990400,672355319808,3221225472,669134094336,670820204544,1535115264,0.7915860584123814,0.9977168095220271,0.0022831904779728263,30278.159126248298,43.41381778973476,0.9985661671963373,0.0016225661507738391,229692,1024,228668,1025536
decode,32,15,0.5,0.9773803949356079,0.566645939406511,8012,0,64096,50462,13634,64,13570,13634,0,806514327552,634958905344,171555422208,805306368,170750115840,171555422208,0,0.7872878182725911,1.0,0.0,7725.650737868928,0.0,1.0,0.0,229692,1024,228668,1025536
decode,32,1,1.0,0.9773803949356079,0.28494399785995483,120180,17608,961440,753335,208105,960,207145,177220,30885,12097714913280,9479148011520,2618566901760,12079595520,2606487306240,2229943664640,388623237120,0.783548635380263,0.8515893419187429,0.14841065808125706,59298.2706746459,6642.663122832775,0.8879788053301026,0.14651356298885007,229692,1024,228668,1025536
decode,32,2,1.0,0.9773803949356079,0.28494399785995483,112168,5549,897344,711261,186083,896,185187,174084,11999,11291200585728,8949734572032,2341466013696,11274289152,2330191724544,2190483652608,150982361088,0.7926291366521646,0.9355180215280278,0.06448197847197218,53023.233953773975,2659.025995492935,0.949851682041667,0.049470437201340846,229692,1024,228668,1025536
decode,32,3,1.0,0.9773803949356079,0.28494399785995483,104156,2827,833248,664720,168528,832,167696,161641,6887,10484686258176,8364113264640,2120572993536,10468982784,2110104010752,2033914478592,86658514944,0.7977456891585698,0.9591343871641508,0.04086561283584923,48021.04207134247,1593.6705244779587,0.9668130791058153,0.027141979338684282,229692,1024,228668,1025536
decode,32,6,1.0,0.9773803949356079,0.28494399785995483,80120,430,640960,509881,131079,640,130439,129991,1088,8065143275520,6415787753472,1649355522048,8053063680,1641302458368,1635665313792,13690208256,0.7954958187718423,0.9916996620358715,0.008300337964128502,37350.17429548502,254.78295332193375,0.993178533751776,0.005366949575636546,229692,1024,228668,1025536
decode,32,9,1.0,0.9773803949356079,0.28494399785995483,56084,2,448672,349751,98921,448,98473,98915,6,5645600292864,4400886054912,1244714237952,5637144576,1239077093376,1244638740480,75497472,0.779524909064974,0.9999393455383588,6.065446164110755e-05,28186.945212304592,1.4525399208068848,0.9999484676359972,3.566079452250196e-05,229692,1024,228668,1025536
