track,capacity_experts_per_layer,lookahead_layers,bandwidth_gbps,coverage,amplification,raw_cold_service_headroom,effective_headroom_after_amplification,first_order_stall_reduction,oracle_recovery,category,evidence_demand,evidence_predictor,evidence_hardware
AX2,8,1,128.0,0.75,1.25,1.333789569541857,1.0670316556334856,0.75,0.75,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.75,1.5,1.333789569541857,0.889193046361238,0.6668947847709285,0.6668947847709285,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.75,2.0,1.333789569541857,0.6668947847709285,0.5001710885781964,0.5001710885781964,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.75,4.0,1.333789569541857,0.3334473923854642,0.2500855442890982,0.2500855442890982,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.75,8.0,1.333789569541857,0.1667236961927321,0.1250427721445491,0.1250427721445491,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.9,1.0,1.333789569541857,1.333789569541857,0.9,0.9,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.9,1.25,1.333789569541857,1.0670316556334856,0.9,0.9,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.9,1.5,1.333789569541857,0.889193046361238,0.8002737417251142,0.8002737417251142,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.9,2.0,1.333789569541857,0.6668947847709285,0.6002053062938356,0.6002053062938356,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.9,4.0,1.333789569541857,0.3334473923854642,0.3001026531469178,0.3001026531469178,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.9,8.0,1.333789569541857,0.1667236961927321,0.1500513265734589,0.1500513265734589,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.95,1.0,1.333789569541857,1.333789569541857,0.95,0.95,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.95,1.25,1.333789569541857,1.0670316556334856,0.95,0.95,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.95,1.5,1.333789569541857,0.889193046361238,0.844733394043176,0.844733394043176,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.95,2.0,1.333789569541857,0.6668947847709285,0.633550045532382,0.633550045532382,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.95,4.0,1.333789569541857,0.3334473923854642,0.316775022766191,0.316775022766191,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.95,8.0,1.333789569541857,0.1667236961927321,0.1583875113830955,0.1583875113830955,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.99,1.0,1.333789569541857,1.333789569541857,0.99,0.99,slo_candidate,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.99,1.25,1.333789569541857,1.0670316556334856,0.99,0.99,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.99,1.5,1.333789569541857,0.889193046361238,0.8803011158976256,0.8803011158976256,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.99,2.0,1.333789569541857,0.6668947847709285,0.6602258369232191,0.6602258369232191,profitable_tail_risk,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.99,4.0,1.333789569541857,0.3334473923854642,0.33011291846160956,0.33011291846160956,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.99,8.0,1.333789569541857,0.1667236961927321,0.16505645923080478,0.16505645923080478,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.999,1.0,1.333789569541857,1.333789569541857,0.999,0.999,slo_candidate,trace_derived,assumed,hypothetical
AX2,8,1,128.0,0.999,1.25,1.333789569541857,1.0670316556334856,0.999,0.999,profitable_tail_risk,trace_derived,assumed,hypothetical
